name,desc,accuracy,f1_spam,f1_non_spam,f1_macro,vocab_size
Baseline,"ngram=(1,2)  feat=10k",0.9722991689750693,0.9539170506912442,0.9801980198019802,0.9670575352466122,4056
Unigram only,"ngram=(1,1)  feat=10k",0.9750692520775623,0.9587155963302753,0.9821428571428571,0.9704292267365662,2542
Trigram,"ngram=(1,3)  feat=10k",0.9722991689750693,0.9539170506912442,0.9801980198019802,0.9670575352466122,4716
Fewer features,"ngram=(1,2)  feat=5k",0.9722991689750693,0.9539170506912442,0.9801980198019802,0.9670575352466122,4056
More features,"ngram=(1,2)  feat=20k",0.9722991689750693,0.9539170506912442,0.9801980198019802,0.9670575352466122,4056
