feature,weight
bambu memang,0.6265792330009122
memberi,0.626111045014329
pelayanan,0.6226263969425196
semakin,0.6216439473492285
gw ga,0.6204749674774301
selain,0.6203899071390502
lain mah,0.6198879816230028
saldo,0.6132402819540447
kepala,0.6128687356286964
eyes smiling,0.6114906950358527
sumber,0.6086039573723477
menemukan,0.6086039573723477
dunia,0.608563149335676
face,0.6082572003921656
bangett,0.607846070403315
hatching chick,0.6077291704864972
chick,0.6077291704864972
hatching,0.6077291704864972
simba,0.606651132349538
gabut,0.6064137707249475
platform,0.6048803030408731
bosen,0.6048544663484261
winrate,0.6043975448085632
kyt lollipop,0.6026658289306193
lollipop kyt,0.6026658289306193
like,0.6013087829190613
star bardi,0.6012757877497483
bardi star,0.6012757877497483
pindah,0.6008669938359286
kaya gini,0.6002708357984429
website,0.6002708357984429
cuman,0.600113496141608
cuma,0.599985673794269
tempat seru,0.5998939505318831
heart bukit,0.5990466319493463
kayak situs,0.5989093854466455
maju,0.5979540504278631
bocor,0.5942914237053392
gamer,0.5939489398303219
medal,0.5925650171588899
dora gachor,0.5923323875361675
eagle,0.592059866403858
bre,0.5900093310144301
mantul,0.5891807191635062
lo,0.588042343804903
pandawa,0.5873475857684772
bantu,0.5870468630908612
berharga,0.5863550797081415
disini bro,0.5834293728472822
sambil nahan,0.5815956304439983
mainnya,0.5796140495388055
ngomongin,0.5784974596040029
tiap hari,0.5784019364939659
selalu kreatif,0.5749218836923979
cherry blossom,0.5748850628189842
cherry,0.5748850628189842
semuanya,0.5742656828307866
melimpah,0.573783045295008
keren sih,0.573783045295008
fajar,0.5718188933556697
gachor,0.5706783534682022
emang ga,0.5701341512468854
logika,0.5698933275202434
back,0.5698082607855051
ulang,0.5680797593381448
red exclamation,0.5677132384360953
exclamation,0.5677132384360953
exclamation mark,0.5677132384360953
suka maen,0.5666881745607203
dewasa,0.5665316157573398
konten,0.5664047995183574
hasilnya,0.5649347819508628
cnd,0.5644694047199912
